"Scan_ID","gDIFF","gDIFF_vs_gSAME","gFEEDBACK_vs_NR","gHIGHER","gLOWER","gLOWER_vs_gHIGHER","gNOTRATED","gSAME",
"DP111",0.016797,0.058317,-0.049987,0.075159,-0.041564,-0.11672,0.047345,-0.041519,
"DP113",0.1395,0.11041,0.021903,0.12802,0.15098,0.022963,0.080796,0.029094,
"DP121",0.25258,0.00011588,0.047801,0.2375,0.26765,0.030155,0.20474,0.25246,
"DP122",0.073537,0.038784,0.088473,0.06258,0.084494,0.021914,-0.027864,0.034753,
"DP147",-0.14032,-0.021178,-0.07002,-0.15456,-0.12608,0.028484,-0.06324,-0.11914,
"DP157",0.09415,-0.061894,0.015969,0.072646,0.11565,0.043009,0.098813,0.15604,
"DP186",0.13426,0.065989,-0.070783,0.11259,0.15593,0.043341,0.18305,0.068269,
"DP21",-0.083506,0.10298,-0.08691,0.072589,-0.2396,-0.31219,-0.030921,-0.18648,
"DP210",0.092507,0.020769,0.035896,0.043981,0.14103,0.097051,0.049688,0.071738,
"DP248",0.047149,0.036786,0.053293,0.088343,0.005955,-0.082388,-0.018406,0.010362,
"DP251",0.10993,-0.026818,0.06052,0.16874,0.05112,-0.11762,0.058347,0.13675,
"DP259",-0.0072734,-0.042898,0.034456,-0.013066,-0.0014812,0.011584,-0.02743,0.035624,
"DP33",0.052882,-0.0061436,-0.056029,0.041767,0.063998,0.022232,0.11096,0.059026,
"DP332",0.14967,-0.012269,0.15431,0.12698,0.17236,0.045377,-0.00054522,0.16194,
"DP34",0.025862,-0.036089,0.051383,-0.00055379,0.052277,0.052831,-0.013492,0.06195,
"DP350",0.10056,0.051881,0.028446,0.0075827,0.19353,0.18595,0.054817,0.048676,
"DP357",0.057474,-0.022243,0.02971,0.068031,0.046916,-0.021115,0.035178,0.079716,
"DP362",0.057083,0.10829,-0.043831,0.028692,0.085475,0.056783,0.064816,-0.05121,
"DP381",0.12924,0.048073,0.15515,0.12795,0.13053,0.002588,-0.041935,0.081168,
"DP386",-0.048526,-0.00052342,-0.031192,-0.021693,-0.075359,-0.053666,-0.01716,-0.048003,
"DP398",0.116,0.048623,0.04121,0.10064,0.13137,0.030726,0.058585,0.067381,
"DP410",0.19076,-0.010277,0.02941,0.11686,0.26466,0.14781,0.16478,0.20104,
"DP414",0.28137,0.015882,-0.03433,0.3379,0.22484,-0.11306,0.3104,0.26549,
"DP420",0.04441,0.082702,0.07218,0.047121,0.041699,-0.0054213,-0.055337,-0.038292,
"DP426",0.23882,0.059711,0.012061,0.21026,0.26738,0.057126,0.20686,0.17911,
"DP429",0.0077218,0.024053,-0.025566,-0.016837,0.03228,0.049117,0.02527,-0.016331,
"DP479",0.19396,0.038217,0.0066305,0.18028,0.20764,0.027364,0.17459,0.15575,
"DP50",0.12438,0.022745,0.053133,0.11489,0.13387,0.018981,0.063666,0.10164,
"DP509",-0.0043793,0.037905,0.040162,-0.045131,0.036373,0.081504,-0.057177,-0.042284,
"DP573",0.27788,-0.14885,0.21527,0.16654,0.38923,0.22269,0.11223,0.42673,
"DP6",0.38019,0.1051,0.0099921,0.37484,0.38554,0.010702,0.33517,0.2751,
"DP616",0.05685,0.13873,-0.037881,0.10716,0.0065371,-0.10063,0.048488,-0.081879,
"DP638",0.080406,0.070878,-0.026038,0.054857,0.10596,0.051098,0.082818,0.009528,
"DP643",0.094802,0.062244,0.12666,0.033364,0.15624,0.12288,-0.052604,0.032558,
"DP69",0.017875,0.033709,-0.062117,0.060192,-0.024443,-0.084635,0.068756,-0.015834,
"DP701",0.12364,0.0452,-0.080254,0.040219,0.20707,0.16685,0.18883,0.078444,
"DP757",0.13588,0.0055998,0.048758,0.092421,0.17935,0.086926,0.08526,0.13028,
"DP77",0.13304,0.00436,-0.067692,0.13664,0.12945,-0.0071893,0.19928,0.12868,
"DP78",0.10598,0.055741,0.046594,0.11826,0.093693,-0.024571,0.040804,0.050237,
"DP787",0.27259,0.046416,0.082825,0.27824,0.26693,-0.011309,0.17429,0.22617,
"DP792",0.033116,-0.024988,0.07783,-0.026623,0.092854,0.11948,-0.036385,0.058104,
"DP808",0.15476,0.046812,0.012779,0.15294,0.15658,0.0036376,0.12637,0.10795,
