"art_id","r_X","r_rating","review","pID","r_cond","r_word_cnt","r_funct","r_pronoun","r_ppron","r_i","r_we","r_you","r_shehe","r_they","r_ipron","r_article","r_verb","r_auxverb","r_past","r_present","r_future","r_adverb","r_preps","r_conj","r_negate","r_quant","r_number","r_swear","r_social","r_family","r_friend","r_humans","r_affect","r_posemo","r_negemo","r_anx","r_anger","r_sad","r_cogmech","r_insight","r_cause","r_discrep","r_tentat","r_certain","r_inhib","r_incl","r_excl","r_percept","r_see","r_hear","r_feel","r_bio","r_body","r_health","r_sexual","r_ingest","r_relativ","r_motion","r_space","r_time","r_work","r_achieve","r_leisure","r_home","r_money","r_relig","r_death","r_assent","r_nonfl","r_filler","d_headline","d_norm","d_abstract","d_word_cnt","d_funct","d_pronoun","d_ppron","d_i","d_we","d_you","d_shehe","d_they","d_ipron","d_article","d_verb","d_auxverb","d_past","d_present","d_future","d_adverb","d_preps","d_conj","d_negate","d_quant","d_number","d_swear","d_social","d_family","d_friend","d_humans","d_affect","d_posemo","d_negemo","d_anx","d_anger","d_sad","d_cogmech","d_insight","d_cause","d_discrep","d_tentat","d_certain","d_inhib","d_incl","d_excl","d_percept","d_see","d_hear","d_feel","d_bio","d_body","d_health","d_sexual","d_ingest","d_relativ","d_motion","d_space","d_time","d_work","d_achieve","d_leisure","d_home","d_money","d_relig","d_death","d_assent","d_nonfl","d_filler"
13,NA,1,"I am someone who tends to get fatigued easily, so it can be good to see how to prevent that or address it.","DP787","FRIEND",23,65.22,26.09,4.35,4.35,0,0,0,0,21.74,0,26.09,13.04,0,21.74,0,8.7,13.04,13.04,0,0,0,0,8.7,0,0,0,13.04,8.7,4.35,0,0,4.35,17.39,0,4.35,0,8.7,0,4.35,0,4.35,4.35,4.35,0,0,4.35,0,4.35,0,0,0,0,0,0,0,0,0,4.35,0,0,0,0,0,0,"Iron Supplements Fight Fatigue in Women","Iron Supplements Fight Fatigue in Women In a randomized controlled double-blinded study, iron supplementation reduced fatigue by almost 50 percent in women who are low in iron but not anemic.","In a randomized controlled double-blinded study, iron supplementation reduced fatigue by almost 50 percent in women who are low in iron but not anemic.",31,35.48,3.23,0,0,0,0,0,0,3.23,3.23,3.23,3.23,0,3.23,0,0,16.13,3.23,3.23,6.45,0,0,12.9,0,0,6.45,12.9,0,12.9,0,3.23,9.68,16.13,0,3.23,0,6.45,0,3.23,0,6.45,3.23,3.23,0,0,9.68,0,9.68,0,0,16.13,0,16.13,0,3.23,3.23,0,0,0,0,0,0,0,0
13,NA,1,"This is especially interesting because I'm tired all the time and am so worried that I'll get a caffeine addiction. YAY TO POPPING PILLS INSTEAD!","DP509","FRIEND",27,55.56,14.81,7.41,7.41,0,0,0,0,7.41,7.41,11.11,7.41,0,11.11,0,11.11,3.7,11.11,0,3.7,0,0,0,0,0,0,11.11,7.41,3.7,3.7,0,0,11.11,0,3.7,0,0,3.7,0,3.7,0,0,0,0,0,14.81,0,11.11,0,3.7,3.7,0,0,3.7,0,0,0,0,0,0,0,3.7,0,0,"Iron Supplements Fight Fatigue in Women","Iron Supplements Fight Fatigue in Women In a randomized controlled double-blinded study, iron supplementation reduced fatigue by almost 50 percent in women who are low in iron but not anemic.","In a randomized controlled double-blinded study, iron supplementation reduced fatigue by almost 50 percent in women who are low in iron but not anemic.",31,35.48,3.23,0,0,0,0,0,0,3.23,3.23,3.23,3.23,0,3.23,0,0,16.13,3.23,3.23,6.45,0,0,12.9,0,0,6.45,12.9,0,12.9,0,3.23,9.68,16.13,0,3.23,0,6.45,0,3.23,0,6.45,3.23,3.23,0,0,9.68,0,9.68,0,0,16.13,0,16.13,0,3.23,3.23,0,0,0,0,0,0,0,0
13,NA,2,"Hey friends, check out this article! I found it super interesting and informative.  I should start taking iron supplements ! Does anyone else?","DP638","FACEBOOK",22,45.45,22.73,9.09,9.09,0,0,0,0,13.64,0,22.73,9.09,4.55,13.64,4.55,0,4.55,4.55,0,4.55,0,0,13.64,0,4.55,0,13.64,13.64,0,0,0,0,27.27,9.09,0,4.55,4.55,0,0,9.09,0,0,0,0,0,0,0,0,0,0,9.09,0,4.55,4.55,0,4.55,0,0,4.55,0,0,0,0,0,"Iron Supplements Fight Fatigue in Women","Iron Supplements Fight Fatigue in Women In a randomized controlled double-blinded study, iron supplementation reduced fatigue by almost 50 percent in women who are low in iron but not anemic.","In a randomized controlled double-blinded study, iron supplementation reduced fatigue by almost 50 percent in women who are low in iron but not anemic.",31,35.48,3.23,0,0,0,0,0,0,3.23,3.23,3.23,3.23,0,3.23,0,0,16.13,3.23,3.23,6.45,0,0,12.9,0,0,6.45,12.9,0,12.9,0,3.23,9.68,16.13,0,3.23,0,6.45,0,3.23,0,6.45,3.23,3.23,0,0,9.68,0,9.68,0,0,16.13,0,16.13,0,3.23,3.23,0,0,0,0,0,0,0,0
13,NA,1,"Study suggests you should get some more iron in your diet so you're not always so ""tireddddd"" all the time.","DP386","FRIEND",21,57.14,14.29,14.29,0,0,14.29,0,0,0,4.76,9.52,4.76,0,4.76,4.76,9.52,4.76,9.52,4.76,14.29,0,0,19.05,0,0,0,0,0,0,0,0,0,23.81,0,0,4.76,4.76,9.52,0,0,4.76,0,0,0,0,9.52,0,4.76,0,4.76,14.29,0,4.76,9.52,4.76,0,0,0,0,0,0,0,0,0,"Iron Supplements Fight Fatigue in Women","Iron Supplements Fight Fatigue in Women In a randomized controlled double-blinded study, iron supplementation reduced fatigue by almost 50 percent in women who are low in iron but not anemic.","In a randomized controlled double-blinded study, iron supplementation reduced fatigue by almost 50 percent in women who are low in iron but not anemic.",31,35.48,3.23,0,0,0,0,0,0,3.23,3.23,3.23,3.23,0,3.23,0,0,16.13,3.23,3.23,6.45,0,0,12.9,0,0,6.45,12.9,0,12.9,0,3.23,9.68,16.13,0,3.23,0,6.45,0,3.23,0,6.45,3.23,3.23,0,0,9.68,0,9.68,0,0,16.13,0,16.13,0,3.23,3.23,0,0,0,0,0,0,0,0
13,NA,NA,"Also a significant problem in our society, were so unhealthy. I've found this to be true in my life. ","DP701","FACEBOOK",20,60,20,15,10,5,0,0,0,5,5,15,10,10,0,0,10,15,10,0,5,0,0,10,0,0,5,10,5,5,0,0,0,15,5,0,5,0,5,0,0,0,0,0,0,0,10,0,10,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,"Iron Supplements Fight Fatigue in Women","Iron Supplements Fight Fatigue in Women In a randomized controlled double-blinded study, iron supplementation reduced fatigue by almost 50 percent in women who are low in iron but not anemic.","In a randomized controlled double-blinded study, iron supplementation reduced fatigue by almost 50 percent in women who are low in iron but not anemic.",31,35.48,3.23,0,0,0,0,0,0,3.23,3.23,3.23,3.23,0,3.23,0,0,16.13,3.23,3.23,6.45,0,0,12.9,0,0,6.45,12.9,0,12.9,0,3.23,9.68,16.13,0,3.23,0,6.45,0,3.23,0,6.45,3.23,3.23,0,0,9.68,0,9.68,0,0,16.13,0,16.13,0,3.23,3.23,0,0,0,0,0,0,0,0
13,NA,5,"I just started taking a multivitamin with 100% of the Iron I need in it. I have felt a lot more energized lately","DP113","FACEBOOK",23,65.22,17.39,13.04,13.04,0,0,0,0,4.35,13.04,21.74,4.35,8.7,13.04,0,8.7,13.04,0,0,8.7,0,0,0,0,0,0,4.35,4.35,0,0,0,0,21.74,4.35,0,4.35,4.35,0,0,4.35,4.35,4.35,0,0,4.35,0,0,0,0,0,13.04,0,4.35,8.7,0,0,0,0,0,0,0,0,0,0,"Iron Supplements Fight Fatigue in Women","Iron Supplements Fight Fatigue in Women In a randomized controlled double-blinded study, iron supplementation reduced fatigue by almost 50 percent in women who are low in iron but not anemic.","In a randomized controlled double-blinded study, iron supplementation reduced fatigue by almost 50 percent in women who are low in iron but not anemic.",31,35.48,3.23,0,0,0,0,0,0,3.23,3.23,3.23,3.23,0,3.23,0,0,16.13,3.23,3.23,6.45,0,0,12.9,0,0,6.45,12.9,0,12.9,0,3.23,9.68,16.13,0,3.23,0,6.45,0,3.23,0,6.45,3.23,3.23,0,0,9.68,0,9.68,0,0,16.13,0,16.13,0,3.23,3.23,0,0,0,0,0,0,0,0
13,NA,5,"This is cool. Perhaps I would need less coffee if I took more iron supplements...                   ","DP792","FACEBOOK",15,60,20,13.33,13.33,0,0,0,0,6.67,0,26.67,13.33,6.67,13.33,6.67,6.67,0,6.67,0,13.33,0,0,0,0,0,0,6.67,6.67,0,0,0,0,26.67,0,0,20,13.33,0,0,0,6.67,6.67,0,0,6.67,6.67,0,0,0,6.67,6.67,6.67,0,0,0,0,6.67,0,0,0,0,6.67,0,0,"Iron Supplements Fight Fatigue in Women","Iron Supplements Fight Fatigue in Women In a randomized controlled double-blinded study, iron supplementation reduced fatigue by almost 50 percent in women who are low in iron but not anemic.","In a randomized controlled double-blinded study, iron supplementation reduced fatigue by almost 50 percent in women who are low in iron but not anemic.",31,35.48,3.23,0,0,0,0,0,0,3.23,3.23,3.23,3.23,0,3.23,0,0,16.13,3.23,3.23,6.45,0,0,12.9,0,0,6.45,12.9,0,12.9,0,3.23,9.68,16.13,0,3.23,0,6.45,0,3.23,0,6.45,3.23,3.23,0,0,9.68,0,9.68,0,0,16.13,0,16.13,0,3.23,3.23,0,0,0,0,0,0,0,0
13,NA,2,"I saw this and it reminded me that you said I should eat more iron because of my cold hands and feet - maybe it's why I'm so tired all the time. Maybe you were right :P","DP381","FRIEND",38,60.53,28.95,18.42,13.16,0,5.26,0,0,10.53,2.63,10.53,5.26,7.89,0,2.63,7.89,2.63,10.53,0,5.26,0,0,7.89,0,0,0,0,0,0,0,0,0,21.05,0,5.26,2.63,5.26,2.63,0,5.26,0,10.53,2.63,2.63,5.26,10.53,5.26,2.63,0,2.63,5.26,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0,"Iron Supplements Fight Fatigue in Women","Iron Supplements Fight Fatigue in Women In a randomized controlled double-blinded study, iron supplementation reduced fatigue by almost 50 percent in women who are low in iron but not anemic.","In a randomized controlled double-blinded study, iron supplementation reduced fatigue by almost 50 percent in women who are low in iron but not anemic.",31,35.48,3.23,0,0,0,0,0,0,3.23,3.23,3.23,3.23,0,3.23,0,0,16.13,3.23,3.23,6.45,0,0,12.9,0,0,6.45,12.9,0,12.9,0,3.23,9.68,16.13,0,3.23,0,6.45,0,3.23,0,6.45,3.23,3.23,0,0,9.68,0,9.68,0,0,16.13,0,16.13,0,3.23,3.23,0,0,0,0,0,0,0,0
13,NA,4,"Seems like iron intake is an important thing.  You can never have enough iron if your feeling fatigued, so keep that in mind.","DP357","FRIEND",23,56.52,17.39,8.7,0,0,8.7,0,0,8.7,4.35,21.74,13.04,0,21.74,0,4.35,4.35,8.7,4.35,4.35,0,0,8.7,0,0,0,8.7,4.35,4.35,0,0,4.35,26.09,8.7,0,4.35,8.7,4.35,4.35,0,4.35,4.35,0,0,4.35,4.35,0,4.35,0,0,8.7,0,4.35,4.35,0,4.35,0,0,0,0,0,0,0,0,"Iron Supplements Fight Fatigue in Women","Iron Supplements Fight Fatigue in Women In a randomized controlled double-blinded study, iron supplementation reduced fatigue by almost 50 percent in women who are low in iron but not anemic.","In a randomized controlled double-blinded study, iron supplementation reduced fatigue by almost 50 percent in women who are low in iron but not anemic.",31,35.48,3.23,0,0,0,0,0,0,3.23,3.23,3.23,3.23,0,3.23,0,0,16.13,3.23,3.23,6.45,0,0,12.9,0,0,6.45,12.9,0,12.9,0,3.23,9.68,16.13,0,3.23,0,6.45,0,3.23,0,6.45,3.23,3.23,0,0,9.68,0,9.68,0,0,16.13,0,16.13,0,3.23,3.23,0,0,0,0,0,0,0,0
13,NA,1,"If this is the case, it would be very helpful to distribute iron supplements to women.              ","DP398","FACEBOOK",16,62.5,12.5,0,0,0,0,0,0,12.5,6.25,18.75,18.75,0,6.25,6.25,6.25,12.5,6.25,0,0,0,0,12.5,0,0,6.25,6.25,6.25,0,0,0,0,12.5,0,0,12.5,6.25,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Iron Supplements Fight Fatigue in Women","Iron Supplements Fight Fatigue in Women In a randomized controlled double-blinded study, iron supplementation reduced fatigue by almost 50 percent in women who are low in iron but not anemic.","In a randomized controlled double-blinded study, iron supplementation reduced fatigue by almost 50 percent in women who are low in iron but not anemic.",31,35.48,3.23,0,0,0,0,0,0,3.23,3.23,3.23,3.23,0,3.23,0,0,16.13,3.23,3.23,6.45,0,0,12.9,0,0,6.45,12.9,0,12.9,0,3.23,9.68,16.13,0,3.23,0,6.45,0,3.23,0,6.45,3.23,3.23,0,0,9.68,0,9.68,0,0,16.13,0,16.13,0,3.23,3.23,0,0,0,0,0,0,0,0
