"Scan_ID","NARROWvsBROAD_both","NARROWvsBROAD_rating","NARROWvsBROAD_reading","NONSHAREvsREST_both","NONSHAREvsREST_rating","READvsCONTENT_reading","READvsREST_reading","READvsSHARE_reading","SHAREvsCONTENT_reading","SHAREvsNONSHARE_both","SHAREvsNONSHARE_rating","SHAREvsNONSHARE_reading","SHAREvsREAD_reading","SHAREvsREST_both","SHAREvsREST_rating","SHAREvsREST_reading","clue","content","friend","post_button","rating_broad","rating_content","rating_narrow","rating_read","read","wall",
"DP111",0.43645,0.82034,0.05255,-0.28758,-0.5138,0.058019,-0.0027041,-0.055915,0.11393,0.37256,0.6602,0.084925,0.055915,0.084985,0.1464,0.023571,0.26732,-0.090364,0.049846,0.13158,-0.26377,-0.66236,0.55657,-0.36524,-0.032344,-0.0027041,
"DP113",0.070044,0.12361,0.016477,-0.19513,-0.22901,-0.019569,-0.062639,-0.11665,0.097076,0.13936,0.17187,0.10686,0.11665,-0.055772,-0.057142,-0.054401,0.0056354,-0.15148,-0.046162,0.16992,-0.11895,-0.49047,0.0046631,0.032458,-0.17105,-0.062639,
"DP121",0.08574,0.062991,0.10849,-0.23503,-0.25381,-0.016673,0.0075723,-0.2864,0.26972,0.61078,0.94351,0.27806,0.2864,0.37576,0.68969,0.061817,0.24299,-0.20791,0.11606,-0.041265,0.6582,-0.4286,0.72119,-0.079031,-0.22458,0.0075723,
"DP122",-0.11343,-0.21411,-0.012748,-0.074414,0.11221,0.20135,-0.21554,0.061552,0.1398,-0.0019974,-0.04312,0.039125,-0.061552,-0.076412,0.069093,-0.22192,-0.38896,-0.36172,-0.22829,-0.31093,0.17615,-0.49583,-0.037963,0.72026,-0.16036,-0.21554,
"DP147",-0.48064,-0.84945,-0.11182,-0.25114,-0.45036,0.24583,0.066443,0.060471,0.18536,0.18225,0.30206,0.062444,-0.060471,-0.068886,-0.1483,0.010531,-0.28911,-0.17483,-0.045381,0.087309,0.27642,-0.50055,-0.57303,-0.40017,0.071002,0.066443,
"DP157",-0.043593,-0.14151,0.054324,-0.41803,-0.58335,0.10948,-0.17116,-0.053975,0.16346,0.40522,0.70173,0.10872,0.053975,-0.012813,0.11837,-0.144,-0.16606,-0.30745,-0.11684,0.1168,0.18913,-0.5365,0.047617,-0.63021,-0.19797,-0.17116,
"DP186",0.27814,0.53837,0.017915,0.023813,0.17578,0.13123,-0.031092,-0.040404,0.17163,0.53034,0.95467,0.10602,0.040404,0.55416,1.1304,-0.022134,0.081306,-0.19377,-0.013177,-0.021632,0.86126,-0.32063,1.3996,0.67219,-0.062538,-0.031092,
"DP21",-0.22365,-0.77083,0.32353,0.1721,-0.2343,0.014689,0.557,-0.13292,0.14761,1.3868,2.6333,0.14026,0.13292,1.5589,2.399,0.71877,1.3209,0.57116,0.88053,0.80182,2.7844,-5.3835e-06,2.0136,-0.46859,0.58585,0.557,
"DP210",0.2085,0.41653,0.00047365,-0.087439,-0.026592,0.10118,-0.086811,-0.011121,0.1123,0.17024,0.27878,0.061711,0.011121,0.082805,0.25219,-0.086575,-0.28072,-0.19888,-0.086338,-0.03103,0.043922,-0.16842,0.46045,0.11524,-0.097696,-0.086811,
"DP248",0.1877,0.36514,0.010256,-0.17534,-0.17302,0.15994,-0.041665,-0.061167,0.2211,0.28297,0.42481,0.14113,0.061167,0.10763,0.25179,-0.036537,0.064829,-0.25764,-0.031409,-0.25617,0.069224,-0.28596,0.43436,-0.060071,-0.097703,-0.041665,
"DP251",-1.3809,-2.554,-0.20779,0.017031,0.04864,0.27805,0.10467,0.12367,0.15438,-0.1545,-0.32436,0.015357,-0.12367,-0.13747,-0.27572,0.00077799,-0.080269,-0.15361,-0.10312,0.16666,1.0013,-0.040564,-1.5527,0.13784,0.12445,0.10467,
"DP259",0.47348,1.1401,-0.19315,0.078855,-0.0084507,0.018178,0.34759,-0.075771,0.093949,0.5284,0.97194,0.08486,0.075771,0.60726,0.96349,0.25102,0.31083,0.15707,0.15445,0.20578,0.39344,-0.6274,1.5335,0.6105,0.17525,0.34759,
