"Scan_ID","NARROWvsBROAD_both","NARROWvsBROAD_rating","NARROWvsBROAD_reading","NONSHAREvsREST_both","NONSHAREvsREST_rating","READvsCONTENT_reading","READvsREST_reading","READvsSHARE_reading","SHAREvsCONTENT_reading","SHAREvsNONSHARE_both","SHAREvsNONSHARE_rating","SHAREvsNONSHARE_reading","SHAREvsREAD_reading","SHAREvsREST_both","SHAREvsREST_rating","SHAREvsREST_reading","clue","content","friend","post_button","rating_broad","rating_content","rating_narrow","rating_read","read","wall",
"DP111",0.33902,0.72541,-0.04738,-0.17081,-0.32079,0.0724,0.048501,-0.0094514,0.081851,0.28519,0.52473,0.045651,0.0094514,0.11438,0.20394,0.024811,0.20574,-0.05704,0.001121,0.071231,-0.15876,-0.25832,0.56665,-0.38326,0.01536,0.048501,
"DP113",-0.11052,-0.28638,0.065336,0.2226,0.31277,-0.070431,0.18878,-0.12423,0.053798,0.12052,0.15202,0.089013,0.12423,0.34312,0.46479,0.22144,0.44394,0.16765,0.25411,0.19249,0.60798,0.45921,0.3216,0.16634,0.097215,0.18878,
"DP121",0.041451,0.0194,0.063502,-0.036818,0.067175,-0.039224,0.042695,-0.23487,0.19565,0.4401,0.66494,0.21526,0.23487,0.40328,0.73212,0.074446,0.32448,-0.1212,0.1062,-0.27392,0.72242,-0.046892,0.74182,0.18124,-0.16042,0.042695,
"DP122",-0.0097049,-0.030634,0.011224,0.22042,0.48003,0.12687,-0.052909,0.071547,0.055324,0.10012,0.20836,-0.0081115,-0.071547,0.32055,0.68839,-0.047297,-0.041275,-0.10262,-0.041685,-0.34359,0.70371,0.30171,0.67307,0.65836,0.02425,-0.052909,
"DP147",0.098318,0.21479,-0.018152,0.21807,0.18842,0.065411,0.26639,0.023112,0.042298,0.45146,0.89333,0.0095929,-0.023112,0.66953,1.0818,0.25731,0.33676,0.21501,0.24823,0.036536,0.97436,0.16877,1.1891,0.20807,0.28042,0.26639,
"DP157",0.023626,-0.0071187,0.05437,-0.37065,-0.67673,0.088382,-0.038415,-0.0091474,0.097529,0.44135,0.82936,0.053338,0.0091474,0.070701,0.15263,-0.011231,-0.069612,-0.10876,0.015954,0.17003,0.15619,-0.52206,0.14907,-0.83139,-0.020378,-0.038415,
"DP186",0.22542,0.42719,0.02365,0.30876,0.59829,0.068508,0.043174,-0.0015165,0.070025,0.25298,0.4702,0.035771,0.0015165,0.56174,1.0685,0.054999,0.16756,-0.015026,0.066824,-0.043421,0.85489,0.3496,1.2821,0.84698,0.053482,0.043174,
"DP21",-0.1602,-0.52727,0.20687,-0.17261,-0.70015,0.045614,0.36529,-0.090983,0.1366,1.4865,2.8593,0.11379,0.090983,1.3139,2.1591,0.46872,0.85625,0.33213,0.57216,0.47921,2.4228,0.082506,1.8955,-1.4828,0.37774,0.36529,
"DP210",0.11646,0.23937,-0.0064468,0.18199,0.3455,0.016649,0.053598,-0.023578,0.040227,0.19403,0.35616,0.031903,0.023578,0.37602,0.70167,0.050375,-0.034136,0.010148,0.047152,-0.060956,0.58198,0.25158,0.82135,0.43942,0.026797,0.053598,
"DP248",0.355,0.66217,0.04783,0.28681,0.6615,0.11683,0.027508,-0.080899,0.19773,0.13683,0.13435,0.13932,0.080899,0.42364,0.79585,0.051423,0.17569,-0.14631,0.075338,-0.44189,0.46476,0.88774,1.1269,0.43526,-0.029476,0.027508,
"DP251",-1.5477,-3.0645,-0.030796,0.058542,0.098491,0.16853,0.090147,0.028108,0.14042,-0.11995,-0.29605,0.056157,-0.028108,-0.061404,-0.19756,0.074749,0.21108,-0.065671,0.059351,-0.096676,1.3347,0.40794,-1.7298,-0.21096,0.10286,0.090147,
"DP259",0.46927,1.006,-0.067497,0.053947,-0.066277,0.041415,0.28732,-0.058693,0.10011,0.54363,1.0079,0.079401,0.058693,0.59758,0.94158,0.25357,0.30759,0.15346,0.21982,0.024315,0.43857,-0.37651,1.4446,0.24396,0.19488,0.28732,
"DP33",0.27404,0.58436,-0.036272,0.1341,0.26691,0.017149,0.092566,-0.06457,0.081719,-0.19081,-0.45477,0.073145,0.06457,-0.056716,-0.18786,0.07443,0.45007,-0.007289,0.056294,-0.027422,-0.48004,0.28533,0.10432,0.24848,0.0098598,0.092566,
"DP332",0.34226,0.59673,0.087799,-0.067891,0.10682,-0.026404,-0.23981,-0.059894,0.03349,0.12329,0.19989,0.046692,0.059894,0.0554,0.30671,-0.19591,-0.35809,-0.2294,-0.15201,-0.4289,0.0083425,-0.0085412,0.60507,0.22218,-0.2558,-0.23981,
"DP34",0.047755,0.178,-0.082493,0.19603,0.28976,0.11253,0.17864,0.021182,0.091348,0.0817,0.12832,0.035083,-0.021182,0.27773,0.41807,0.13739,0.15644,0.046046,0.096148,0.050291,0.32907,0.046919,0.50707,0.53259,0.15858,0.17864,
"DP350",-0.39425,-0.57759,-0.21091,0.24243,0.44091,0.069625,0.19924,-0.015035,0.08466,0.60158,1.1533,0.049847,0.015035,0.84401,1.5942,0.093787,0.046247,0.0091265,-0.011668,-0.58843,1.883,-0.11516,1.3054,0.99699,0.078752,0.19924,
"DP357",0.43101,0.81392,0.048107,0.36636,0.64931,0.37656,0.1337,0.11393,0.26263,0.081815,0.089279,0.074351,-0.11393,0.44817,0.73859,0.15775,0.21689,-0.10488,0.18181,0.015817,0.33164,0.48741,1.1456,0.81122,0.27168,0.1337,
"DP362",0.18101,0.28192,0.080103,-0.10978,-0.095894,0.033418,-0.10507,-0.041925,0.075343,0.16381,0.26898,0.058634,0.041925,0.054033,0.17309,-0.065024,0.065316,-0.14037,-0.024972,-0.023259,0.032129,-0.26987,0.31405,0.078079,-0.10695,-0.10507,
"DP381",-0.057499,-0.20066,0.085667,0.036922,0.093288,0.002773,-0.028917,-0.031975,0.034748,0.30665,0.57993,0.033361,0.031975,0.34357,0.67322,0.013916,0.15986,-0.020832,0.05675,0.033066,0.77355,0.079968,0.57289,0.10661,-0.018059,-0.028917,
"DP386",0.05057,0.19367,-0.092529,0.3323,0.55191,-0.023328,0.10282,0.044462,-0.06779,0.1437,0.34353,-0.056126,-0.044462,0.476,0.89544,0.056554,0.20828,0.12434,0.010289,-0.058461,0.79861,0.26247,0.99228,0.84136,0.10102,0.10282,
